objid,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,class
1237651211748835597,19.34179,18.09275,18.05839,18.08897,18.14799,STAR
1237651297650278456,17.86853,16.60085,16.38884,16.30381,16.30872,STAR
1237651297650278433,16.59607,15.49843,15.38313,15.36542,15.43541,STAR
1237651310535049418,18.47024,17.3342,16.93425,16.74131,16.66184,STAR
1237651297650016504,19.07069,18.86331,19.22459,19.50916,19.84726,STAR
1237656529455480855,17.96752,18.04781,18.30311,18.59549,18.87314,STAR
1237651297649885316,18.02185,17.00825,16.72991,16.6453,16.62805,STAR
1237651310535049389,24.7648,18.42966,24.92211,24.35318,22.74116,STAR
1237656528918938043,20.42011,20.0657,20.03082,20.06065,20.38734,STAR
1237656528381804921,22.469,20.28383,19.20992,18.85137,18.61344,STAR
1237651213897105757,19.7675,19.398,19.61462,19.82706,20.13389,STAR
1237651213897237604,24.17679,24.45096,23.79245,20.99889,19.7081,STAR
1237651297113145697,22.5473,19.77494,18.29602,17.58408,17.1643,STAR
